# Time-averaged data for fix myat1
# TimeStep v_kinetic_energy v_potential_energy
390 0.208725 -0.947088
400 1.02651 -0.908315
410 1.25976 -0.795122
420 1.36513 -0.762899
430 1.42172 -0.732686
440 1.46693 -0.704702
450 1.44526 -0.669476
460 1.49813 -0.629408
470 1.45737 -0.595928
480 1.47983 -0.57829
490 1.42776 -0.56695
500 1.45661 -0.568034
510 1.47978 -0.545715
520 1.49974 -0.530923
530 1.46907 -0.516014
540 1.51537 -0.510861
550 1.49925 -0.487901
560 1.52117 -0.481806
570 1.5194 -0.478495
580 1.55312 -0.470344
590 1.53075 -0.4583
600 1.55365 -0.442956
610 1.51811 -0.461594
620 1.51224 -0.44802
630 1.53594 -0.439976
640 1.46166 -0.431674
650 1.49035 -0.423179
660 1.45995 -0.421012
670 1.46057 -0.423393
680 1.47897 -0.414225
690 1.48426 -0.408716
700 1.51545 -0.396018
710 1.53538 -0.39804
720 1.52207 -0.391715
730 1.53511 -0.390069
740 1.53185 -0.394536
750 1.49322 -0.392524
760 1.47464 -0.389847
770 1.43328 -0.380364
780 1.4786 -0.380553
790 1.49766 -0.377504
800 1.4787 -0.378661
810 1.49192 -0.36868
820 1.53394 -0.379203
830 1.50047 -0.367318
840 1.50947 -0.363058
850 1.55687 -0.37078
860 1.47988 -0.36321
870 1.47992 -0.360397
880 1.47212 -0.355105
890 1.51708 -0.348052
900 1.51024 -0.349513
910 1.55163 -0.349309
920 1.52284 -0.341399
930 1.50576 -0.349189
940 1.44186 -0.33796
950 1.48168 -0.337929
960 1.53014 -0.327487
970 1.52394 -0.336699
980 1.47081 -0.324721
990 1.50332 -0.314101
1000 1.48111 -0.317731
1010 1.46538 -0.316603
1020 1.47905 -0.302366
1030 1.52665 -0.30004
1040 1.45079 -0.306207
1050 1.48867 -0.311994
1060 1.51245 -0.306478
1070 1.55084 -0.299613
1080 1.53485 -0.286799
1090 1.54346 -0.301449
1100 1.49916 -0.293737
1110 1.51185 -0.300302
1120 1.51514 -0.308121
1130 1.44337 -0.30865
1140 1.47618 -0.305908
1150 1.47763 -0.309924
1160 1.46105 -0.304426
1170 1.45614 -0.305459
1180 1.48445 -0.294379
1190 1.52589 -0.300406
1200 1.55 -0.299665
1210 1.53223 -0.300721
1220 1.54391 -0.289409
1230 1.52247 -0.290572
1240 1.54184 -0.301967
1250 1.48373 -0.294223
1260 1.46076 -0.287078
1270 1.49849 -0.295718
1280 1.54766 -0.301099
1290 1.46803 -0.290646
1300 1.49797 -0.297461
1310 1.48973 -0.29571
1320 1.49576 -0.286862
1330 1.51608 -0.283746
1340 1.48563 -0.289506
1350 1.46703 -0.282172
1360 1.42546 -0.290991
1370 1.46728 -0.293852
1380 1.47072 -0.294163
1390 1.53563 -0.291485
1400 1.48226 -0.278565
1410 1.50288 -0.286629
1420 1.49022 -0.284617
1430 1.46278 -0.285517
1440 1.46446 -0.28602
1450 1.45014 -0.284296
1460 1.49813 -0.28534
1470 1.49751 -0.288065
1480 1.49686 -0.284484
1490 1.51632 -0.280965
1500 1.54911 -0.284634
1510 1.50114 -0.289697
1520 1.49715 -0.289219
1530 1.52017 -0.283123
1540 1.48641 -0.280717
1550 1.47615 -0.288868
1560 1.44395 -0.278573
1570 1.49406 -0.28502
1580 1.51752 -0.287753
1590 1.51937 -0.285922
1600 1.48838 -0.278752
1610 1.44159 -0.272277
1620 1.52606 -0.27888
1630 1.48215 -0.278726
1640 1.51562 -0.282219
1650 1.48506 -0.278224
1660 1.5003 -0.27836
1670 1.48718 -0.273827
1680 1.4795 -0.268832
1690 1.47432 -0.266563
1700 1.47461 -0.268372
1710 1.43385 -0.275423
1720 1.51859 -0.26152
1730 1.49977 -0.267344
1740 1.49974 -0.270646
1750 1.46871 -0.276074
1760 1.47233 -0.272255
1770 1.53732 -0.26266
1780 1.53346 -0.275277
1790 1.54513 -0.265199
1800 1.54099 -0.272183
1810 1.519 -0.267005
1820 1.47065 -0.270533
1830 1.49957 -0.25703
1840 1.49973 -0.274155
1850 1.50977 -0.258722
1860 1.49763 -0.26405
1870 1.45302 -0.263337
1880 1.40719 -0.266005
1890 1.47824 -0.268348
1900 1.49089 -0.266246
1910 1.50128 -0.267168
1920 1.49554 -0.267944
1930 1.51748 -0.264084
1940 1.52654 -0.268038
1950 1.49612 -0.271761
1960 1.41864 -0.270152
1970 1.48823 -0.271222
1980 1.46277 -0.274164
1990 1.50919 -0.276192
2000 1.55915 -0.272613
2010 1.53514 -0.261285
2020 1.49916 -0.268046
2030 1.50907 -0.261162
2040 1.5122 -0.266027
2050 1.54979 -0.260304
2060 1.47909 -0.249963
2070 1.49782 -0.262447
2080 1.493 -0.265173
2090 1.50157 -0.2568
2100 1.48463 -0.25719
2110 1.50381 -0.258905
2120 1.49592 -0.252697
2130 1.51134 -0.261335
2140 1.47651 -0.25464
2150 1.47321 -0.263151
2160 1.45813 -0.259148
2170 1.45458 -0.257421
2180 1.44472 -0.256683
2190 1.46742 -0.255287
2200 1.48463 -0.243382
2210 1.47335 -0.251182
2220 1.4444 -0.257028
2230 1.45523 -0.26175
2240 1.49408 -0.261709
2250 1.48896 -0.265478
2260 1.48821 -0.264722
2270 1.51574 -0.258521
2280 1.4956 -0.252779
2290 1.54099 -0.254572
2300 1.54112 -0.258564
2310 1.51973 -0.260592
2320 1.5014 -0.262212
2330 1.50688 -0.240155
2340 1.47132 -0.237543
2350 1.47778 -0.250112
2360 1.47499 -0.255482
2370 1.45417 -0.257362
2380 1.4666 -0.258836
2390 1.47804 -0.259312
2400 1.52196 -0.261706
2410 1.52464 -0.263816
2420 1.53434 -0.27232
2430 1.54041 -0.26552
2440 1.51231 -0.260025
2450 1.51838 -0.271042
2460 1.51798 -0.26992
2470 1.48677 -0.279916
2480 1.49802 -0.279369
2490 1.49861 -0.281823
2500 1.53078 -0.279959
2510 1.4835 -0.273243
2520 1.53203 -0.270782
2530 1.46591 -0.272292
2540 1.47507 -0.269355
2550 1.52756 -0.276614
2560 1.52145 -0.275674
2570 1.52975 -0.271404
2580 1.51871 -0.275607
2590 1.49357 -0.271906
2600 1.49069 -0.268221
2610 1.49201 -0.265979
2620 1.46813 -0.268009
2630 1.45872 -0.258801
2640 1.50743 -0.269082
2650 1.50082 -0.263897
2660 1.49798 -0.26505
2670 1.47661 -0.262828
2680 1.52186 -0.265903
2690 1.53156 -0.266051
2700 1.54416 -0.269022
2710 1.54759 -0.264483
2720 1.50678 -0.265351
2730 1.55557 -0.267552
2740 1.50532 -0.264782
2750 1.50225 -0.266832
2760 1.50417 -0.258798
2770 1.53127 -0.268473
2780 1.53483 -0.268727
2790 1.47255 -0.261085
2800 1.50801 -0.260611
2810 1.54013 -0.264183
2820 1.57601 -0.26359
2830 1.53421 -0.259787
2840 1.52694 -0.263518
2850 1.46749 -0.255934
2860 1.49988 -0.266327
2870 1.46639 -0.269936
2880 1.44743 -0.267092
2890 1.46355 -0.270243
2900 1.46857 -0.270769
2910 1.55054 -0.26647
2920 1.53247 -0.263569
2930 1.53866 -0.267074
2940 1.48353 -0.272025
2950 1.47699 -0.266646
2960 1.50419 -0.264807
2970 1.53642 -0.264692
2980 1.50888 -0.266799
2990 1.53298 -0.266167
3000 1.46913 -0.257554
3010 1.52154 -0.268348
3020 1.52084 -0.267458
3030 1.54108 -0.260334
3040 1.55275 -0.258633
3050 1.51743 -0.261596
3060 1.50172 -0.246521
3070 1.5424 -0.246213
3080 1.51866 -0.249923
3090 1.54935 -0.25269
3100 1.5516 -0.247123
3110 1.4983 -0.249066
3120 1.47511 -0.251143
3130 1.47532 -0.256689
3140 1.5607 -0.255171
3150 1.51866 -0.246744
3160 1.52691 -0.252601
3170 1.53651 -0.250957
3180 1.52478 -0.253472
3190 1.5106 -0.251178
3200 1.52271 -0.257978
3210 1.52296 -0.25622
3220 1.50227 -0.260284
3230 1.51663 -0.252298
3240 1.51594 -0.255932
3250 1.51725 -0.261233
3260 1.47186 -0.255344
3270 1.51836 -0.25903
3280 1.49438 -0.257608
3290 1.47397 -0.256667
3300 1.49535 -0.254261
3310 1.54551 -0.259881
3320 1.48978 -0.255758
3330 1.44702 -0.261763
3340 1.50383 -0.267213
3350 1.4893 -0.251999
3360 1.50547 -0.265259
3370 1.51167 -0.265632
3380 1.50922 -0.262439
3390 1.47659 -0.261295
3400 1.49448 -0.256766
3410 1.48746 -0.256464
3420 1.46668 -0.254023
3430 1.4804 -0.263975
3440 1.50433 -0.255987
3450 1.51789 -0.254703
3460 1.50951 -0.258427
3470 1.54593 -0.259257
3480 1.50853 -0.254009
3490 1.47588 -0.258401
3500 1.46125 -0.263626
3510 1.53295 -0.258537
3520 1.51294 -0.251569
3530 1.5703 -0.254885
3540 1.57354 -0.25434
3550 1.53274 -0.251152
3560 1.52646 -0.242466
3570 1.52155 -0.253634
3580 1.46539 -0.243652
3590 1.47715 -0.239643
3600 1.53559 -0.245016
3610 1.55522 -0.245251
3620 1.53558 -0.243237
3630 1.45522 -0.241189
3640 1.56073 -0.241229
3650 1.55102 -0.238349
3660 1.47803 -0.236204
3670 1.49202 -0.230343
3680 1.45666 -0.233132
3690 1.48844 -0.225087
3700 1.49071 -0.230598
3710 1.49835 -0.23458
