# Time-averaged data for fix myat1
# TimeStep v_zave v_zdes
1152000 -18.7761 -19
1154000 -18.7404 -19
1156000 -18.8049 -19
1158000 -18.871 -19
1160000 -18.9389 -19
1162000 -18.5832 -19
1164000 -18.7005 -19
1166000 -18.7276 -19
1168000 -18.5796 -19
1170000 -18.8478 -19
1172000 -18.7883 -19
1174000 -18.559 -19
1176000 -18.5137 -19
1178000 -18.773 -19
1180000 -18.7167 -19
1182000 -18.7041 -19
1184000 -18.7939 -19
1186000 -18.6926 -19
1188000 -18.6751 -19
1190000 -18.7936 -19
1192000 -18.5649 -19
1194000 -18.6014 -19
1196000 -18.5222 -19
1198000 -18.6034 -19
1200000 -18.4493 -19
1202000 -18.3342 -19
1204000 -18.3812 -19
1206000 -18.2182 -19
1208000 -18.3741 -19
1210000 -18.475 -19
1212000 -18.6351 -19
1214000 -18.5356 -19
1216000 -18.3594 -19
1218000 -18.4239 -19
1220000 -18.5197 -19
1222000 -18.5559 -19
1224000 -18.3889 -19
1226000 -18.0625 -19
1228000 -18.3759 -19
1230000 -18.0353 -19
1232000 -18.3805 -19
1234000 -18.2866 -19
1236000 -18.4733 -19
1238000 -18.2752 -19
1240000 -18.302 -19
1242000 -18.344 -19
1244000 -18.3807 -19
1246000 -18.4243 -19
1248000 -18.4 -19
1250000 -18.4066 -19
1252000 -18.2881 -19
1254000 -18.4395 -19
1256000 -18.321 -19
1258000 -18.2033 -19
1260000 -18.1414 -19
1262000 -18.1569 -19
1264000 -17.9618 -19
1266000 -18.1678 -19
1268000 -18.039 -19
1270000 -18.1519 -19
1272000 -18.1398 -19
1274000 -18.2635 -19
1276000 -18.1959 -19
1278000 -18.1594 -19
1280000 -18.2476 -19
1282000 -18.1616 -19
1284000 -18.2854 -19
1286000 -18.233 -19
1288000 -18.3589 -19
1290000 -18.0802 -19
1292000 -18.1928 -19
1294000 -18.2088 -19
1296000 -18.3255 -19
1298000 -18.5341 -19
1300000 -18.4289 -19
1302000 -18.4437 -19
1304000 -18.4798 -19
1306000 -18.284 -19
1308000 -18.5001 -19
1310000 -18.3008 -19
1312000 -18.679 -19
1314000 -18.6425 -19
1316000 -18.5086 -19
1318000 -18.6329 -19
1320000 -18.6656 -19
1322000 -18.7093 -19
1324000 -18.4715 -19
1326000 -18.6543 -19
1328000 -18.5068 -19
1330000 -18.7338 -19
1332000 -18.7229 -19
1334000 -18.7467 -19
1336000 -18.8515 -19
1338000 -18.6621 -19
1340000 -18.7912 -19
1342000 -18.5034 -19
1344000 -18.8465 -19
1346000 -18.9328 -19
1348000 -18.9665 -19
1350000 -18.829 -19
1352000 -18.7416 -19
1354000 -18.8339 -19
1356000 -18.7783 -19
1358000 -18.5637 -19
1360000 -18.1937 -19
1362000 -18.4189 -19
1364000 -18.5738 -19
1366000 -18.5674 -19
1368000 -18.5935 -19
1370000 -18.6641 -19
1372000 -18.8245 -19
1374000 -18.7734 -19
1376000 -18.5289 -19
1378000 -18.3874 -19
1380000 -18.5341 -19
1382000 -18.6902 -19
1384000 -18.5162 -19
1386000 -18.6995 -19
1388000 -18.5524 -19
1390000 -18.7986 -19
1392000 -18.6471 -19
1394000 -18.6758 -19
1396000 -18.6242 -19
1398000 -18.5522 -19
1400000 -18.6085 -19
1402000 -18.9122 -19
1404000 -18.3073 -19
1406000 -18.455 -19
1408000 -18.6971 -19
1410000 -18.5936 -19
1412000 -18.6045 -19
1414000 -18.5828 -19
1416000 -18.8961 -19
1418000 -18.7662 -19
1420000 -18.6971 -19
1422000 -18.7926 -19
1424000 -18.8372 -19
1426000 -18.8371 -19
1428000 -18.6952 -19
1430000 -18.5945 -19
1432000 -18.6716 -19
1434000 -18.5476 -19
1436000 -18.675 -19
1438000 -18.6465 -19
1440000 -18.6703 -19
1442000 -18.6753 -19
1444000 -18.5829 -19
1446000 -18.5873 -19
1448000 -18.4583 -19
1450000 -18.8656 -19
1452000 -18.6745 -19
1454000 -18.6476 -19
1456000 -18.8544 -19
1458000 -18.8014 -19
1460000 -18.7437 -19
1462000 -18.8651 -19
1464000 -18.7458 -19
1466000 -18.7764 -19
1468000 -18.8675 -19
1470000 -18.8581 -19
1472000 -18.8303 -19
1474000 -18.7902 -19
1476000 -18.7357 -19
1478000 -18.8606 -19
1480000 -18.9135 -19
1482000 -18.8304 -19
1484000 -18.8922 -19
1486000 -18.7799 -19
1488000 -18.8471 -19
1490000 -18.6323 -19
1492000 -18.8455 -19
1494000 -18.8462 -19
1496000 -19.0452 -19
1498000 -18.8716 -19
1500000 -19.1086 -19
1502000 -19.1687 -19
1504000 -18.989 -19
1506000 -18.9476 -19
1508000 -18.9297 -19
1510000 -19.094 -19
1512000 -18.9069 -19
1514000 -18.9013 -19
1516000 -18.922 -19
1518000 -19.1179 -19
1520000 -19.1904 -19
1522000 -19.0781 -19
1524000 -19.2597 -19
1526000 -19.0918 -19
1528000 -19.126 -19
1530000 -19.1199 -19
1532000 -19.0216 -19
1534000 -19.0538 -19
1536000 -19.1228 -19
1538000 -19.1522 -19
1540000 -19.2281 -19
1542000 -19.1845 -19
1544000 -19.2188 -19
1546000 -18.9166 -19
1548000 -18.9986 -19
1550000 -19.1002 -19
1552000 -19.2032 -19
1554000 -19.1473 -19
1556000 -19.2727 -19
1558000 -19.07 -19
1560000 -19.0209 -19
1562000 -19.1393 -19
1564000 -19.1358 -19
1566000 -19.3195 -19
1568000 -19.0401 -19
1570000 -19.1605 -19
1572000 -19.102 -19
1574000 -19.1568 -19
1576000 -19.1499 -19
1578000 -19.0292 -19
1580000 -19.208 -19
1582000 -18.7131 -19
1584000 -19.0072 -19
1586000 -19.2007 -19
1588000 -19.1319 -19
1590000 -19.0215 -19
1592000 -19.0538 -19
1594000 -19.1418 -19
1596000 -19.1193 -19
1598000 -18.9128 -19
1600000 -19.025 -19
1602000 -19.0187 -19
1604000 -19.0826 -19
1606000 -19.1288 -19
1608000 -19.1756 -19
1610000 -19.2136 -19
1612000 -19.2869 -19
1614000 -18.9817 -19
1616000 -19.0886 -19
1618000 -19.0001 -19
1620000 -18.8851 -19
1622000 -19.1283 -19
1624000 -19.098 -19
1626000 -19.208 -19
1628000 -19.3427 -19
1630000 -18.9242 -19
1632000 -19.1095 -19
1634000 -19.035 -19
1636000 -19.3771 -19
1638000 -19.2837 -19
1640000 -19.1431 -19
1642000 -18.8758 -19
1644000 -18.7816 -19
1646000 -19.0551 -19
1648000 -19.113 -19
1650000 -19.0339 -19
