#  Timestep    No_Moles    No_Specs   Si192O384         OH2
          5          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         10          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         15          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         20          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         25          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         30          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         35          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         40          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         45          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         50          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         55          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         60          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         65          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         70          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         75          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         80          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         85          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         90          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
         95          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        100          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        105          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        110          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        115          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        120          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        125          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        130          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        135          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        140          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        145          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        150          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        155          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        160          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        165          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        170          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        175          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        180          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        185          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        190          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        195          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        200          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        205          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        210          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        215          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        220          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        225          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        230          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        235          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        240          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        245          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        250          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        255          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        260          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        265          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        270          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        275          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        280          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        285          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        290          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        295          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        300          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        305          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        310          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        315          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        320          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        325          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        330          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        335          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        340          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        345          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        350          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        355          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        360          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        365          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        370          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        375          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        380          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        385          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        390          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        395          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        400          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        405          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        410          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        415          21           2           1          20
#  Timestep    No_Moles    No_Specs   Si192O384         OH2
        420          21           2           1          20
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        425          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        430          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        435          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        440          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        445          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        450          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        455          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        460          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        465          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        470          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        475          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        480          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        485          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        490          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
        495          20           2           1          19
#  Timestep    No_Moles    No_Specs Si192O384OH2         OH2
